Rk;Squad;Country;LgRk;MP;W;D;L;GF;GA;GD;Pts;Pts/MP;xG;xGA;xGD;xGD/90;Attendance;Top Team Scorer;Goalkeeper
1;Paris S-G;FRA;1;13;11;2;0;36;8;28;35;2.69;31.3;13.3;18.1;1.39;38500;Kylian Mbappé - 11;Gianluigi Donnarumma
2;Napoli;ITA;1;12;10;2;0;30;9;21;32;2.67;24.5;9.4;15.2;1.26;39654;Victor Osimhen - 7;Alex Meret
3;Real Madrid;ESP;1;12;10;2;0;29;10;19;32;2.67;26.3;10.9;15.4;1.28;58279;Vinicius Júnior Federico Valverde - 6;Thibaut Courtois
4;Barcelona;ESP;2;12;10;1;1;29;4;25;31;2.58;27.8;8.4;19.4;1.62;81625;Robert Lewandowski - 13;Marc-André ter Stegen
5;Arsenal;ENG;1;12;10;1;1;30;11;19;31;2.58;21.9;10.9;11.1;0.92;60135;Gabriel Jesus Martinelli - 5;Aaron Ramsdale
6;Manchester City;ENG;2;12;9;2;1;37;11;26;29;2.42;24;9;15;1.25;53340;Erling Haaland - 17;Ederson
7;Lens;FRA;2;13;9;3;1;22;8;14;30;2.31;23.8;15.1;8.7;0.67;31909;Loïs Openda - 7;Brice Samba
8;Atalanta;ITA;2;12;8;3;1;18;8;10;27;2.25;18.9;10.9;8;0.67;18404;Ademola Lookman - 5;Juan Musso
9;Union Berlin;GER;1;12;8;2;2;21;9;12;26;2.17;11.8;10.9;0.9;0.08;21853;Sheraldo Becker - 6;Frederik Rønnow
10;Milan;ITA;3;12;8;2;2;25;13;12;26;2.17;19.3;12.1;7.2;0.6;72857;Rafael Leão - 5;Mike Maignan
11;Bayern Munich;GER;2;12;7;4;1;38;10;28;25;2.08;27.1;11.5;15.6;1.3;75000;Jamal Musiala - 7;Manuel Neuer
12;Rennes;FRA;3;13;8;3;2;28;12;16;27;2.08;22.8;14.2;8.6;0.66;23856;Martin Terrier - 8;Steve Mandanda
13;Lorient;FRA;4;13;8;3;2;24;18;6;27;2.08;18.8;18.7;0.1;0.01;11675;Terem Moffi - 8;Yvon Mvogo
14;Roma;ITA;4;12;8;1;3;16;11;5;25;2.08;23.9;7.9;16;1.33;61703;Paulo Dybala - 5;Rui Patrício
15;Lazio;ITA;5;12;7;3;2;24;8;16;24;2;16;14.6;1.3;0.11;42929;Ciro Immobile - 6;Ivan Provedel
16;Tottenham;ENG;3;13;8;2;3;26;16;10;26;2;21.1;14.3;6.8;0.53;61610;Harry Kane - 10;Hugo Lloris
17;Inter;ITA;6;12;8;0;4;25;17;8;24;2;21.6;11.3;10.3;0.86;72541;Lautaro Martínez - 6;Samir Handanovi?
18;Freiburg;GER;3;12;7;3;2;18;13;5;24;2;19.3;14;5.3;0.44;34320;Vincenzo Grifo - 6;Mark Flekken
19;Betis;ESP;4;12;7;2;3;16;8;8;23;1.92;17.3;13.1;4.2;0.35;50833;Borja Iglesias - 8;Rui Silva
20;Atlético Madrid;ESP;3;12;7;2;3;20;12;8;23;1.92;15;14;1;0.09;55407;Álvaro Morata Antoine Griezmann - 5;Jan Oblak
21;Manchester Utd;ENG;5;12;7;2;3;17;16;1;23;1.92;15.8;15.3;0.5;0.04;73729;Marcus Rashford - 4;David de Gea
22;Newcastle Utd;ENG;4;13;6;6;1;24;10;14;24;1.85;22.5;12.4;10.1;0.78;52164;Miguel Almirón - 7;Nick Pope
23;Marseille;FRA;5;13;7;3;3;22;11;11;24;1.85;21.5;14.9;6.6;0.5;53957;Alexis Sánchez - 4;Pau López
24;Monaco;FRA;6;13;7;3;3;25;18;7;24;1.85;20.3;19.5;0.8;0.06;4707;Breel Embolo - 6;Alexander Nübel
25;Juventus;ITA;8;12;6;4;2;18;7;11;22;1.83;16.7;13.6;3.1;0.26;37161;Dušan Vlahovi? - 6;Wojciech Szcz?sny
26;Dortmund;GER;4;12;7;1;4;20;15;5;22;1.83;17.1;13.9;3.3;0.27;80977;Youssoufa Moukoko - 4;Gregor Kobel
27;Real Sociedad;ESP;5;12;7;1;4;16;15;1;22;1.83;15.2;11.1;4.1;0.34;32548;Brais Méndez - 5;Álex Remiro
28;Udinese;ITA;7;13;6;5;2;21;13;8;23;1.77;17.9;14.6;3.3;0.25;18386;Beto - 6;Marco Silvestri
29;Chelsea;ENG;6;12;6;3;3;17;15;2;21;1.75;14.8;16.2;-1.4;-0.12;39853;Raheem Sterling Kai Havertz - 3;Edouard Mendy
30;Lille;FRA;7;13;7;1;5;25;22;3;22;1.69;23.5;16.6;6.9;0.53;32039;Jonathan David - 9;Lucas Chevalier
31;Eint Frankfurt;GER;5;12;6;2;4;25;20;5;20;1.67;19.3;13.6;5.6;0.47;50171;Daichi Kamada - 7;Kevin Trapp
32;Osasuna;ESP;7;12;6;2;4;13;11;2;20;1.67;16.7;11.6;5.1;0.42;18806;Ezequiel Ávila - 4;Sergio Herrera
33;Athletic Club;ESP;6;13;6;3;4;21;14;7;21;1.62;19.5;9.3;10.2;0.79;43531;Iñaki Williams - 5;Unai Simón
34;RB Leipzig;GER;6;12;5;4;3;22;18;4;19;1.58;21.5;14.7;6.9;0.57;45827;Christopher Nkunku - 9;Péter Gulácsi
