Rk,Squad,MP,W,D,L,GF,GA,Pts,Sh,xA,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Mid 3rdVs,Att 3rdVs,Att PenVs,TK Def 3rd,TK Mid 3rd,TK Att 3rd,Blocks,Int,Clr
1,Arsenal,14,12,1,1,33,11,37,15.8,1.11,665,50.4,167.9,308.6,194,32.6,209.1,101,14.8,6.71,4.93,3.07,9.36,7.71,17
12,Aston Villa,15,5,3,7,16,22,18,10.8,0.73,559.1,65.1,187.5,248.8,128,17.9,270.3,136.4,21.9,9.47,7.53,2.13,12.5,9.47,16.6
14,Bournemouth,15,4,4,7,18,32,16,8.13,0.63,497.9,76.1,209.4,197.8,98.1,16,330.5,214.8,26.3,8.2,6.87,1.53,12.4,7.27,27.4
10,Brentford,15,4,7,4,23,25,19,10.1,0.76,520.3,69.5,196.1,203.6,124.6,20.4,270.3,178.9,25.1,6.8,5.73,2.47,11.6,9.2,20.2
7,Brighton,14,6,3,5,23,19,21,13.7,1.07,645.1,63.8,196.4,274.7,178.4,26.4,217.4,122.5,18.7,7.43,6.86,3,11.1,9.43,13.9
8,Chelsea,14,6,3,5,17,17,21,11,0.78,688.4,63.4,204.2,309.2,180.4,23.9,213.4,127.5,19.4,7.79,7.64,3.36,11.4,9.29,17.7
11,Crystal Palace,14,5,4,5,15,18,19,10.9,0.58,593.2,74.6,220.6,256.4,122.6,18.6,290.2,162.6,26.1,9.86,5.57,2.21,12.2,8.14,21.6
17,Everton,15,3,5,7,11,17,14,10.5,0.65,548.9,71.5,204.5,229.4,120.9,18.8,286.1,172.9,28.2,10.1,7.27,1.93,13.3,9.67,24.1
9,Fulham,15,5,4,6,24,26,19,11.8,0.57,543.3,65.4,185.9,231.7,131.5,19.9,275.3,141.2,25.8,7.93,6,2.53,12.3,7.2,19
15,Leeds United,14,4,3,7,22,26,15,12.9,0.7,600,55.8,190.1,262.6,152.9,20.4,257.3,128.9,21.9,10.6,9.64,3.29,12.4,10.4,17.8
13,Leicester City,15,5,2,8,25,25,17,11.1,0.75,647.8,69.3,223.6,299,129.7,17.7,276.7,157.5,22.3,8.8,7.33,1.73,11.8,9.73,19.9
6,Liverpool,14,6,4,4,28,17,22,17.1,1.41,761.3,63.3,218.5,356.8,189.9,34.8,217.1,115.6,19.2,6.43,5.93,2,9.36,8.79,14.6
2,Manchester City,14,10,2,2,40,14,32,17.4,1.61,807.3,52.5,188.4,390.4,233.5,36.5,160.9,78.4,12.2,4.79,5.5,2.21,8.36,6.5,8.5
5,Manchester Utd,14,8,2,4,20,20,26,13.7,1.04,621.9,70.7,210.6,255.2,160.5,23,233.4,151.1,26,9.14,4.93,1.79,12.6,9.21,21.1
3,Newcastle Utd,15,8,6,1,29,11,30,14.4,1.11,569.5,57.1,177.4,231.4,166.2,28.9,225,129.4,19.9,7.07,6.67,2.93,12.7,8.93,19.1
18,Nott'ham Forest,15,3,4,8,11,30,13,9.67,0.51,500.7,77.4,210.2,192.8,103.1,14.7,316.3,178.5,28.7,8.73,5.93,2.07,11.7,8.4,24.5
19,Southampton,15,3,3,9,13,27,12,11.5,0.81,556.7,64.8,192,230.1,141.3,21.2,291.4,158.4,25.1,10.2,7.33,1.8,13.9,10.5,21.1
4,Tottenham,15,9,2,4,31,21,29,14.5,1,646.7,70.7,229.3,276.7,145.5,24.1,289.3,180.8,23.9,7.73,5.53,2.2,11.5,9.47,17.4
16,West Ham,15,4,2,9,12,17,14,13.3,0.6,563.5,63.9,199.3,238.7,130.3,19.3,298.7,161.3,21.5,8.2,5.73,1.87,10.7,10.3,18.5
20,Wolves,15,2,4,9,8,24,10,11.7,0.6,584.1,70.1,212.7,235.1,143.2,20.7,259.4,148.6,24.9,10.8,4.87,2.13,11.5,7.47,18.9
