team,logo
FC Salzburg,https://logodownload.org/wp-content/uploads/2020/03/redbull-salzburg-logo-3.png
Genk,https://logodownload.org/wp-content/uploads/2020/03/club-genk-logo-3.png
Ludogorets,https://static.wikia.nocookie.net/the-football-database/images/7/7c/Ludogoretslogo2016.png/revision/latest?cb=20161225144349
Young Boys,https://static.wikia.nocookie.net/the-football-database/images/9/93/BSC_Young_Boys_Logo_001.png/revision/latest?cb=20130525182435
Apollon Limassol,https://static.wikia.nocookie.net/the-football-database/images/5/59/Apollon_Limassol_FC.png/revision/latest?cb=20220526151708
Slavia Prague,https://static.wikia.nocookie.net/the-football-database/images/6/62/Slavia_Prague.png/revision/latest/scale-to-width-down/1000?cb=20191013155209
Bayern Munich,https://static.wikia.nocookie.net/the-football-database/images/6/67/Bayern_Logo_001.png/revision/latest?cb=20131021200404
FC Copenhagen,https://static.wikia.nocookie.net/the-football-database/images/b/b5/FC_K%C3%B8benhavn.svg.png/revision/latest?cb=20130918100639
Barcelona,
FC Flora,https://static.wikia.nocookie.net/the-football-database/images/6/6d/FC_Flora.png/revision/latest?cb=20141115133935
HJK Helsinki,https://static.wikia.nocookie.net/the-football-database/images/0/05/HJK_Helsinki.png/revision/latest?cb=20131122163910
Paris Saint-Germain,
Manchester City,https://static.wikia.nocookie.net/the-football-database/images/c/c1/Manchester_City_FC.png/revision/latest/scale-to-width-down/1000?cb=20170518012435
Olympiacos,https://static.wikia.nocookie.net/the-football-database/images/9/9a/Olympiacos.png/revision/latest?cb=20131130085803
Dinamo Zagreb,https://logodownload.org/wp-content/uploads/2020/03/dinamo-zagreb-logo-3.png
Ferencvaros,https://static.wikia.nocookie.net/the-football-database/images/6/65/Ferencvaros.png/revision/latest?cb=20140219170250
Shamrock Rovers,https://static.wikia.nocookie.net/the-football-database/images/7/71/Shamrok.png/revision/latest?cb=20151129153357
Napoli,https://static.wikia.nocookie.net/the-football-database/images/6/64/SSC_Napoli.png/revision/latest?cb=20131022114703
Zalgiris Vilnius,https://static.wikia.nocookie.net/the-football-database/images/c/cf/Zalgiris.png/revision/latest?cb=20140527130310
Swift Hesperange,https://static.wikia.nocookie.net/the-football-database/images/a/ae/Swift_Hesperange.png/revision/latest?cb=20220604150907
Rigas Futbola Skola,https://upload.wikimedia.org/wikipedia/en/6/6d/FK_RFS_logo.png
Hamrun Spartans,https://static.wikia.nocookie.net/the-football-database/images/0/01/Hamrun_Spartans.png/revision/latest?cb=20170114135719
Ajax,
Bodo/Glimt,https://static.wikia.nocookie.net/the-football-database/images/3/35/Fk_bodo_glimt.png/revision/latest?cb=20190409154033
Lech Poznan,https://static.wikia.nocookie.net/the-football-database/images/e/ea/Lech_Poznan.png/revision/latest?cb=20140321185451
FC Porto,
Steaua Bucuresti,https://static.wikia.nocookie.net/the-football-database/images/0/03/FCSB.png/revision/latest?cb=20180314160359
Slovan Bratislava,https://static.wikia.nocookie.net/the-football-database/images/7/78/Slovan_Bratislava.png/revision/latest?cb=20140522173047
Olimpija Ljubljana,https://static.wikia.nocookie.net/the-football-database/images/f/fc/OlimpijaLjubljana2005.png/revision/latest?cb=20180305234925
Hammarby,https://static.wikia.nocookie.net/the-football-database/images/a/a9/Hammarby_IF.png/revision/latest?cb=20141127073253
